actor,person,episodes,start_year,end_year
Roxanna Kadyrova,Yunkai'i Slave #2,1,2013,2013
Gary Lightbody,Bolton Soldier,1,2013,2013
Krysten Coombs,King Balon Greyjoy Dwarf,1,2014,2014
Maria Sikavica,Whore #2,1,2014,2014
Richard Fitzwell,NA,1,2015,2015
Allan Gildea,Strong Sam Stone,1,2015,2015
Mary Jordan,Septa Scolera,1,2015,2015
Derek Lord,Mallister Supporter,1,2015,2015
Gemita Samarra,Brea,1,2015,2015
Susie Kelly,Masha Heddle,1,2011,2011
Faolan Morgan,Stark Guard,1,2011,2011
Frank O'Sullivan,Night's Watch Messenger,1,2011,2011
Terry Byrne,Septon,1,2012,2012
Kristina Krepela,Qartheen Woman,1,2012,2012
Michelle Costello,Craster's Wife,1,2013,2013
Jamal Ouarraq,Yunkai'i Slave #3,1,2013,2013
Paul Kennedy,Eyrie Guard,1,2015,2015
Irma Mali,Whore,1,2015,2015
Ben Yates,Brothel Customer,1,2015,2015
Ruairí Heading,Night's Watchman #2,1,2016,2016
Ciaran McMahon,Lannister Soldier,1,2012,2012
El Hasani,Yunkai'i Slave #4,1,2013,2013
Lisa Walsh,Craster's Younger Wife,1,2013,2013
Stephen Brown,Sparring Boy,1,2015,2015
Winston Davis,Street Tough #2,1,2015,2015
Aifric O'Donnell,Aya,1,2015,2015
Ella Tweed,Brothel Child #1,1,2015,2015
Andrew Bryan,Bolton Officer,1,2016,2016
Chris Gallagher,Lannister Scout,1,2011,2011
Wren Ros Elliot-Sloan,Rhaego,1,2012,2012
Mustapha Mekanassi,Yunkai'i Slave #5,1,2013,2013
Joe Hewetson,Maester Helliweg,1,2015,2015
Isabelle Jones,Brothel Child #2,1,2015,2015
Irene Kelleher,Inn Waitress,1,2015,2015
Fiach Kunz,Lannister Guard #2,1,2015,2015
Sabrina Bartlett,Handmaid,1,2016,2016
Tristan Heanue,Bolton Soldier,1,2016,2016
James Lecky,Ironborn #3,1,2016,2016
Rick Burn,Stark Guard,1,2011,2011
Kylie Harris,Genna,1,2013,2013
Curtis-Lee Ashqar,Son of the Harpy,1,2015,2015
David Fennelly,Baratheon Soldier #1,1,2015,2015
Michael Johnston,Lannister Guard #3,1,2015,2015
Sabina Arthur,Meereenese Homeless Mother,1,2016,2016
Dermot Ward,Tommen's Attendant,1,2016,2016
Hugo Culverhouse,Red Keep Stableboy,1,2011,2011
Patrick J Molloy,Night's Watchman,1,2014,2014
Jonathan Gunning,Dwarf Hunter #1,1,2015,2015
Colin Azzopardi,Maester Caleotte,1,2016,2016
Aron Hegarty,Tommen's Manservant,1,2016,2016
Natalia Lee,Chella,1,2012,2012
Tristan McConnell,Gordy,1,2015,2015
Alan McKee,Dwarf Hunter #2,1,2015,2015
Sean Blowers,Wyman Manderly,1,2016,2016
Gordon Fulton,Lord Portan,1,2012,2012
Trixiebell Harrowell,Farmer's Daughter,1,2014,2014
Laurence O'Fuarain,Simpson,1,2015,2015
Tom Varey,Cley Cerwyn,1,2016,2016
Marko Cindric,Tourney Herald,1,2012,2012
Mark Drake,Tortured Slave,1,2013,2013
Ralph Clemente,Woodcutter,1,2015,2015
Oliver Stockwell,Dothraki Man Having Sex,1,2016,2016
Anthony John Crocker,King's Landing Drunkard,1,2015,2015
Derek Horsham,Great Master #2,1,2014,2014
Kirsty Nicholls,King's Landing Whore,1,2015,2015
Joshua Sher,Meereen Slave,1,2014,2014
Munro Graham,King's Landing Flasher #1,1,2015,2015
Ben Kelly,King's Landing Flasher #2,1,2015,2015
Rebecca Van Cleave,Cersei Body Double,1,2015,2015
Alee Fauzi,Lannister Guard,1,2019,2019
Jack Hudson,Wight,1,2019,2019
Adam Quigley-Nixon,Lannister Guard,1,2019,2019
Marc Rissmann,Harry Strickland,1,2019,2019
Michael Stuart,Night's Watch Officer,17,2013,2016
Graeme Peacock,Baratheon Soldier,11,2012,2017
Bobby Marno,Night's Watch,10,2015,2017
James Bleakney,Baratheon Soldier,9,2013,2016
Tyrone Kearns,Brotherhood Member,6,2013,2016
Mark Quigley,Baratheon Soldier,6,2014,2016
Frederick Walker,Lannister General,6,2014,2016
Frédéric André,Knight,4,2011,2016
Darran Watt,Soldier,4,2012,2013
Logan Bruce,Ironborn,4,2013,2017
Jessica Odell,Wildling,4,2015,2016
Breifne McCusker,Glover Troop 2016,4,2016,2016
Hugh David Irvine,Frey Wedding Guest,3,2012,2014
Kristy Robinson,Craster's Wife,3,2012,2014
Desmond Edwards,Slaver,3,2014,2016
Warren Blair,Wildling,3,2014,2015
Kristy Robinson,Craster's Wife,3,2014,2015
Cillean Campbell,Lannister Lord,3,2015,2016
Frank Cannon,King's Landing Nobleman,3,2015,2016
Andrew McClay,Jon Snow Soldier,3,2015,2016
Juan Carlos Martínez Antuña,Meereen Guard,3,2017,2017
Mark Coney,Lord Galbart Glover,2,2011,2011
Boyd Rankin,Mikken,2,2011,2011
Aaron Archer,Nobleman,2,2012,2016
Darragh O'Connor,Frey Wedding Guest,2,2013,2016
Laurence Doherty,Frey Wedding Guest,2,2013,2014
Gerald McMullan,Night's Watch,2,2014,2017
Daniel Naprous,Dothraki Rider,2,2014,2017
Bill Buchanan,Gold Cloak,2,2014,2016
Richard Buick,Faith Militant,2,2014,2015
Niamh Lennon,King's Landing Handmaiden,2,2014,2014
Marion McDowell,Mole's Town Whore,2,2014,2014
Calvin Warrington-Heasman,Burning Lannister,2,2015,2017
Derek Dubery,Brothel Patron #5,2,2015,2016
Simon Millar,Tully Soldier,2,2015,2016
Jessica Stevenson,Wildling,2,2015,2015
Kevin-Barry Brown,Bolton Infantry,2,2016,2016
Michael William Burns,Kingsland Taverner,2,2016,2016
Micheal Fitzgerald,Glover General,2,2016,2016
Tamsin Greene Barker,Braavosi Theatre Server,2,2016,2016
Kiran Shah,Braavosi Theatre Sound Artist,2,2016,2016
Hugh Yeaman,Meereen Guard,2,2016,2016
Michael Byrch,Captured Wight,2,2017,2017
Marc Aquilina,Dothraki,1,2011,2011
Phil Barnhill,Baratheon Guard,1,2011,2011
Elizabeth Barrett,Lady Maege,1,2011,2011
Owen Dickey,Winterfell Beekeeper,1,2011,2011
Ivailo Dimitrov,Mago,1,2011,2011
Melissa Reid,Peasant,1,2011,2011
James Tolcher,Lannister Guard,1,2011,2011
Robert Yates,King's Guard,1,2011,2011
Robert Atkinson,Baratheon Archer,1,2012,2012
Robert Boroje,Malakho,1,2012,2012
Noel Cecil,Wight,1,2012,2012
Hugh Irvine,Lannister Archer,1,2012,2012
Paul Kealyn,Weasel,1,2012,2012
Sarah Mac Keever,Selyse Baratheon,1,2012,2012
Filip Lozic,Young Nobleman,1,2012,2012
Sarah MacKeever,Selyse Baratheon,1,2012,2012
Paul Monahan,Stark Guard,1,2012,2012
Ginger A. Taylor,Craster's Daughter,1,2012,2012
Bart the Bear,The Bear,1,2013,2013
Matt Butcher,Riverrun Nobleman,1,2013,2013
Katie Creaven,Marianne Frey,1,2013,2013
Maeve Guy,Derwa Frey,1,2013,2013
Kevin McCann,Musician,1,2013,2013
Susie McWilliams,Freya Frey,1,2013,2013
Christopher Newman,Hoster Tully,1,2013,2013
Niall O'Donnell,Bathhouse Boy,1,2013,2013
Rachel Puchkoff,Khaleesi Handmaiden #1,1,2013,2013
Mustapha Rachidi,Yunkai Citizen,1,2013,2013
Omar Youssef,Dothraki,1,2013,2013
Neil Baltus,Noble Man,1,2014,2014
Emma Bryant,Waitress,1,2014,2014
Joe Claflin,Cooper,1,2014,2014
Bryan Cogman,Dragonstone waiter,1,2014,2014
Paul Herbert,Wedding Guest,1,2014,2014
Mark Kelvin Ryan,Frey Serving Boy,1,2014,2014
Stella Lutz,Noble Lady,1,2014,2014
Neil Marshall,Night's Watch Archer,1,2014,2014
Jack Roth,Donnel Hill,1,2014,2014
Sigur Rós,Wedding Band,1,2014,2014
C.C. Smiff,Wedding Guest,1,2014,2014
Adam Basil,Strong Fighter,1,2015,2015
Roman Beguns,Fighter,1,2015,2015
Brann Dailor,Wildling,1,2015,2015
Rob de Groot,Fighter,1,2015,2015
Jenny Edgar,Wildling Archer,1,2015,2015
Cassie Friel,Wight,1,2015,2015
Brent Hinds,Wildling,1,2015,2015
Charles Jarman,Pit Fighter,1,2015,2015
Danko Jordanov,Wilding Gladiator,1,2015,2015
Tomislav Jurcec,Ft. Corpse Child,1,2015,2015
Bill Kelliher,Wildling,1,2015,2015
Christopher Kinkead,Night's Watch Recruit,1,2015,2015
Chelsea Mainwaring,Wildling Archer,1,2015,2015
Barrie Martin,Wight,1,2015,2015
Daniel Tartaglia,Merchant's crew #1,1,2015,2015
Royd Tolkien,Wildling,1,2015,2015
Raquel Arraes,Volantene Whore,1,2016,2016
Kristina Baskett,Child of the Forest #1,1,2016,2016
Rachelle Beinart,Child of the Forest #2,1,2016,2016
Elynia Betts,Tavern Maid,1,2016,2016
Susan Christie,Volantene Whore,1,2016,2016
Milly Burke Cunningham,Frey Daughter,1,2016,2016
Philip Early,Stark Soldier,1,2016,2016
Patrick Kelly,Karstark Lead Archer,1,2016,2016
Jose Mellinas,'That's Right' Man,1,2016,2016
Casey Michaels,Child of the Forest #3,1,2016,2016
Peter Rooney,Karstark Soldier,1,2016,2016
Sophia Smith,Volantene Whore,1,2016,2016
Gary Wales,Healtor Troop,1,2016,2016
Leo Woodruff,Howland Reed,1,2016,2016
Charlie Barrett,Dothraki Rider,1,2017,2017
Carolina Castellano,Woman in King's Landing,1,2017,2017
Dan Euston,Wildling,1,2017,2017
Christian Gimse,Lannister Guard,1,2017,2017
Seán McGillicuddy,Lannister Soldier,1,2017,2017
Brendan McGivern,Night's Watch,1,2017,2017
Ross Moneypenny,Tyrell guard,1,2017,2017
Douglas Robson,Burning Lannister,1,2017,2017
Jim Stanes,Lannister Map Painter,1,2017,2017
Noah Syndergaard,Lannister Spearman,1,2017,2017
