actor,person,episodes,start_year,end_year
Kashif Khan,Bailiff,1,2011,2011
Dan Marshall,Associate,1,2011,2011
Samuel Mekonnen,Coffee Vendor,1,2011,2011
Colin Price,Doorman,1,2011,2011
Christopher Stadulis,Cop #1,1,2011,2011
Vincent Thomas,Berated Associate,1,2011,2011
Noah S. Wallach,Lawyer,1,2011,2011
Nick Alachiotis,Boxing Coach,1,2012,2012
Lucy DeLaat,Striking Nurse at Table,1,2012,2012
Sarah Jackson,Woman in red dress,1,2012,2012
Nicole Marie Johnson,Darlene Day,1,2012,2012
Jessica Vandenberg,Ballerina,1,2012,2012
Kate Elyse Forrest,Dinner Guest,1,2013,2013
Chris Gonsalves,Associate Attorney,1,2013,2013
Angelica Alejandro,Corporate Woman,1,2014,2014
Cyndy Day,Waitress,1,2014,2014
Jean Christophe Loustau,Upscale Customer,1,2014,2014
Alyssa Veniece,New Paralegal,1,2014,2014
Lana Antonova,Valentina,1,2015,2015
Emilie Paquet,Bar Patron,1,2015,2015
Corey Chainey,Passerby,1,2016,2016
Chris Gleason,Golfer,1,2016,2016
John Jacob,Court Reporter,1,2016,2016
Michelle Alexander,Debra Kaplan,1,2017,2017
Stephen Collins,Business Man,1,2017,2017
J. Timothy Hunt,Executive,1,2017,2017
Dahol Otoide,Bailiff,1,2017,2017
Nigel Downer,Passerby Four,1,2018,2018
Phil Madura,Bailiff,1,2018,2018
Debi Wollitzer,City Hall Employee,1,2018,2018
